"","team","salary","player","position","season"
"3393","Miami Heat",1082520,"Norris Cole","PG","2011-2012"
"3394","San Antonio Spurs",1074720,"Cory Joseph","PG","2011-2012"
"3395","Minnesota Timberwolves",1071720,"Alando Tucker","SF","2011-2012"
"3396","Orlando Magic",1069509,"Von Wafer","SG","2011-2012"
"3397","New Jersey Nets",1063865,"MarShon Brooks","SG","2011-2012"
"3398","San Antonio Spurs",1059750,"Stephen Jackson","SF","2011-2012"
"3399","San Antonio Spurs",1054000,"DeJuan Blair","C","2011-2012"
"3400","Boston Celtics",1042320,"JaJuan Johnson","PF","2011-2012"
"3401","Brooklyn Nets",1033342,"Quinton Ross","SF","2011-2012"
"3402","Cleveland Cavaliers",1029389,"Jawad Williams","SF","2011-2012"
"3403","Golden State Warriors",1027424,"Earl Barron","C","2011-2012"
"3404","Chicago Bulls",1020960,"Jimmy Butler","SG","2011-2012"
"3405","Memphis Grizzlies",1e+06,"Jeremy Pargo","PG","2011-2012"
"3406","Milwaukee Bucks",1e+06,"Jon Brockman","PF","2011-2012"
"3407","Denver Nuggets",992680,"Shavlik Randolph","PF","2011-2012"
"3408","Dallas Mavericks",915852,"Ian Mahinmi","C","2011-2012"
"3409","Chicago Bulls",915852,"John Lucas III","PG","2011-2012"
"3410","Dallas Mavericks",915852,"Brandan Wright","F","2011-2012"
"3411","New York Knicks",885120,"Henry Walker","SF","2011-2012"
"3412","Utah Jazz",885120,"DeMarre Carroll","SF","2011-2012"
"3413","Denver Nuggets",885120,"Pops Mensah-Bonsu","PF","2011-2012"
"3414","Atlanta Hawks",884881,"Salim Stoudamire","SG","2011-2012"
"3415","New Orleans Pelicans",884293,"Patrick Ewing Jr.","SF","2011-2012"
"3416","Chicago Bulls",855189,"Anthony Roberson","SG","2011-2012"
"3417","New York Knicks",855189,"Mouhamed Sene","C","2011-2012"
"3418","Sacramento Kings",855189,"Quincy Douby","SG","2011-2012"
"3419","Golden State Warriors",855189,"Tarence Kinsey","SG","2011-2012"
"3420","Philadelphia 76ers",854389,"Francisco Elson","C","2011-2012"
"3421","New Orleans Hornets",854389,"Trey Johnson","SG","2011-2012"
"3422","Miami Heat",854389,"Luke Jackson","SF","2011-2012"
"3423","San Antonio Spurs",854389,"Derrick Byars","SF","2011-2012"
"3424","Memphis Grizzlies",854389,"Kyle Weaver","SG","2011-2012"
"3425","Atlanta Hawks",854389,"Jannero Pargo","PG","2011-2012"
"3426","Memphis Grizzlies",854389,"Darius Miles","SF","2011-2012"
"3427","Washington Wizards",854389,"Javaris Crittenton","PG","2011-2012"
"3428","Golden State Warriors",854389,"Joe Alexander","SF","2011-2012"
"3429","San Antonio Spurs",854389,"Gary Neal","PG","2011-2012"
"3430","Houston Rockets",850000,"Chandler Parsons","SF","2011-2012"
"3431","Toronto Raptors",830000,"Solomon Alabi","C","2011-2012"
"3432","Phoenix Suns",826828,"Michael Redd","SG","2011-2012"
"3433","Sacramento Kings",825497,"Desmond Mason","SF","2011-2012"
"3434","Washington Wizards",825497,"Paul Davis","C","2011-2012"
"3435","New Orleans Pelicans",825497,"Jason Hart","PG","2011-2012"
"3436","Golden State Warriors",825497,"Jermareo Davidson","PF","2011-2012"
"3437","Oklahoma City Thunder",825497,"Kevin Ollie","PG","2011-2012"
"3438","Oklahoma City Thunder",825497,"Ryan Bowen","SF","2011-2012"
"3439","Boston Celtics",825497,"Gabe Pruitt","PG","2011-2012"
"3440","Indiana Pacers",810000,"Lance Stephenson","SG","2011-2012"
"3441","Sacramento Kings",809875,"Tyler Honeycutt","SF","2011-2012"
"3442","Cleveland Cavaliers",804131,"Chris Quinn","PG","2011-2012"
"3443","Portland Trail Blazers",799105,"Sean Marks","PF","2011-2012"
"3444","San Antonio Spurs",792377,"Ike Diogu","PF","2011-2012"
"3445","LA Clippers",792377,"Solomon Jones","PF","2011-2012"
"3446","Milan Olimpia",788872,"Gani Lawal","PF","2011-2012"
"3447","null Unknown",788872,"Da'Sean Butler","NA","2011-2012"
"3448","San Antonio Spurs",788872,"Marcus Cousin","C","2011-2012"
"3449","Toronto Raptors",788872,"Andy Rautins","SG","2011-2012"
"3450","Phoenix Suns",788872,"Zabian Dowdell","PG","2011-2012"
"3451","Perth Perth",788872,"Terrico White","G","2011-2012"
"3452","Atlanta Hawks",788872,"Pape Sy","SF","2011-2012"
"3453","null Unknown",788872,"Magnum Rolle","NA","2011-2012"
"3454","Golden State Warriors",785487,"Nate Robinson","PG","2011-2012"
"3455","Cleveland Cavaliers",780871,"Jermaine Taylor","SG","2011-2012"
"3456","Dallas Mavericks",771706,"Yi Jianlian","SF","2011-2012"
"3457","Washington Wizards",762195,"Hamady Ndiaye","C","2011-2012"
"3458","null Unknown",762195,"Kenny Hasbrouck","NA","2011-2012"
"3459","Memphis Grizzlies",762195,"Tony Gaffney","SF","2011-2012"
"3460","Boston Celtics",762195,"Greg Stiemsma","C","2011-2012"
"3461","Utah Jazz",762195,"Brian Butch","C","2011-2012"
"3462","Flamengo Flamengo",762195,"Derrick Caracter","PF","2011-2012"
"3463","Cleveland Cavaliers",762195,"Samardo Samuels","PF","2011-2012"
"3464","Cleveland Cavaliers",762195,"Semih Erden","C","2011-2012"
"3465","Miami Heat",762195,"Dexter Pittman","C","2011-2012"
"3466","New York Knicks",736420,"Joe Crawford","SG","2011-2012"
"3467","LA Clippers",736420,"Mike Taylor","PG","2011-2012"
"3468","Detroit Pistons",736420,"Walter Sharpe","PF","2011-2012"
"3469","Chicago Bulls",736420,"DeMarcus Nelson","SG","2011-2012"
"3470","Charlotte Hornets",736420,"Dontell Jefferson","SG","2011-2012"
"3471","Madrid Real Madrid",736420,"Othello Hunter","SF","2011-2012"
"3472","San Antonio Spurs",708640,"Ime Udoka","SG","2011-2012"
"3473","Oklahoma City Thunder",679821,"Mike Wilks","PG","2011-2012"
"3474","Memphis Grizzlies",668434,"Brian Skinner","PF","2011-2012"
"3475","Philadelphia 76ers",650686,"Allen Iverson","SG","2011-2012"
"3476","Golden State Warriors",650000,"Jeremy Tyler","C","2011-2012"
"3477","Golden State Warriors",633253,"Acie Law","PG","2011-2012"
"3478","Memphis Grizzlies",550000,"Josh Selby","PG","2011-2012"
"3479","LA Clippers",535000,"Trey Thompkins","PF","2011-2012"
"3480","Atlanta Hawks",530547,"Erick Dampier","C","2011-2012"
"3481","Orlando Magic",524964,"Jason Williams","PG","2011-2012"
"3482","Orlando Magic",522472,"Ish Smith","PG","2011-2012"
"3483","LA Clippers",5e+05,"Travis Leslie","PG","2011-2012"
"3484","Minnesota Timberwolves",5e+05,"Malcolm Lee","SG","2011-2012"
"3485","Oklahoma City Thunder",475000,"Ryan Reid","PF","2011-2012"
"3486","Sacramento Kings",473604,"Pooh Jeter","PG","2011-2012"
"3487","Golden State Warriors",473604,"Charles Jenkins","PG","2011-2012"
"3488","Washington Wizards",473604,"Shelvin Mack","PG","2011-2012"
"3489","Philadelphia 76ers",473604,"Lavoy Allen","F","2011-2012"
"3490","New York Knicks",473604,"Josh Harrellson","C","2011-2012"
"3491","Charlotte Bobcats",473604,"Cory Higgins","PG","2011-2012"
"3492","Charlotte Hornets",473604,"Sherron Collins","PG","2011-2012"
"3493","Golden State Warriors",473604,"Chris Wright","SF","2011-2012"
"3494","Milwaukee Bucks",473604,"Jon Leuer","PF","2011-2012"
"3495","New Orleans Hornets",473604,"Carldell Johnson","PG","2011-2012"
"3496","Milwaukee Bucks",457588,"Marcus Landry","SF","2011-2012"
"3497","Utah Jazz",457588,"Trey Gilder","SF","2011-2012"
"3498","null Unknown",457588,"Deron Washington","NA","2011-2012"
"3499","Indiana Pacers",435000,"Kyrylo Fesenko","C","2011-2012"
"3500","Portland Trail Blazers",420304,"Joel Przybilla","C","2011-2012"
"3501","New Jersey Nets",413413,"Gerald Green","SG","2011-2012"
"3502","Dallas Mavericks",402065,"Peja Stojakovic","SF","2011-2012"
"3503","Detroit Pistons",374300,"Walker Russell","PG","2011-2012"
"3504","Washington Wizards",319128,"Ronny Turiaf","C","2011-2012"
"3505","New Orleans Hornets",305551,"Lance Thomas","SF","2011-2012"
"3506","Dallas Mavericks",280192,"Kelenna Azubuike","SF","2011-2012"
"3507","Memphis Grizzlies",261829,"Gilbert Arenas","PG","2011-2012"
"3508","Sacramento Kings",254938,"Terrence Williams","SG","2011-2012"
"3509","Cleveland Cavaliers",252016,"Manny Harris","PG","2011-2012"
"3510","Cleveland Cavaliers",248048,"Ryan Hollins","C","2011-2012"
"3511","Charlotte Bobcats",241158,"Boris Diaw","C","2011-2012"
"3512","LA Clippers",234268,"Bobby Simmons","SF","2011-2012"
"3513","Oklahoma City Thunder",226162,"Mustafa Shakur","PG","2011-2012"
"3514","Houston Rockets",220487,"Earl Boykins","PG","2011-2012"
"3515","Chicago Bulls",220487,"Mike James","PG","2011-2012"
"3516","Toronto Raptors",213597,"Alan Anderson","SG","2011-2012"
"3517","San Antonio Spurs",213517,"Patty Mills","PG","2011-2012"
"3518","Golden State Warriors",211084,"Al Thornton","SF","2011-2012"
"3519","Portland Trail Blazers",208802,"Travis Diener","PG","2011-2012"
"3520","Memphis Grizzlies",201033,"Leon Powe","PF","2011-2012"
"3521","Washington Wizards",199816,"Cartier Martin","PF","2011-2012"
"3522","Boston Celtics",196007,"Carlos Arroyo","PG","2011-2012"
"3523","Toronto Raptors",190548,"Ben Uzoh","PG","2011-2012"
"3524","Cleveland Cavaliers",160414,"Donald Sloan","G","2011-2012"
"3525","LA Clippers",156595,"Courtney Fortson","PG","2011-2012"
"3526","Washington Wizards",151585,"James Singleton","F","2011-2012"
"3527","Miami Heat",137498,"Mickell Gladness","C","2011-2012"
"3528","Utah Jazz",117134,"Blake Ahearn","G","2011-2012"
"3529","Portland Trail Blazers",104494,"Armon Johnson","PG","2011-2012"
"3530","Charlotte Bobcats",96017,"Jamario Moon","SF","2011-2012"
"3531","Memphis Grizzlies",80703,"Garrett Temple","SG","2011-2012"
"3532","Washington Wizards",75793,"Morris Almond","SG","2011-2012"
"3533","Golden State Warriors",75793,"Mikki Moore","C","2011-2012"
"3534","New York Knicks",69393,"Dan Gadzuric","C","2011-2012"
"3535","New Orleans Hornets",64930,"Jerome Dyson","PG","2011-2012"
"3536","Houston Rockets",57291,"Diamon Simpson","SF","2011-2012"
"3537","New Orleans Hornets",55321,"Darryl Watkins","C","2011-2012"
"3538","Dallas Mavericks",49966,"Sean Williams","PF","2011-2012"
"3539","Memphis Grizzlies",48232,"Lester Hudson","SG","2011-2012"
"3540","Cleveland Cavaliers",40375,"Cedric Jackson","G","2011-2012"
"3541","New Orleans Hornets",38194,"Jeff Foote","C","2011-2012"
"3542","Minnesota Timberwolves",35868,"Othyus Jeffers","SG","2011-2012"
"3543","Cleveland Cavaliers",22916,"D.J. Kennedy","SG","2011-2012"
"3544","New Jersey Nets",22287,"Larry Owens","SF","2011-2012"
"3545","Brooklyn Nets",20103,"Mario West","SG","2011-2012"
"3546","Philadelphia 76ers",11458,"Xavier Silas","G","2011-2012"
"3547","Los Angeles Lakers",30453805,"Kobe Bryant","SF","2012-2013"
"3548","LA Clippers",18668431,"Chris Paul","PG","2012-2013"
"3549","Oklahoma City Thunder",17832626,"Kevin Durant","SF","2012-2013"
"3550","Chicago Bulls",17632688,"Derrick Rose","PG","2012-2013"
"3551","Brooklyn Nets",17177795,"Deron Williams","PG","2012-2013"
"3552","Philadelphia 76ers",16889000,"Andrew Bynum","C","2012-2013"
"3553","Boston Celtics",16790345,"Paul Pierce","SF","2012-2013"
"3554","Memphis Grizzlies",16500000,"Zach Randolph","PF","2012-2013"
"3555","Memphis Grizzlies",16460538,"Rudy Gay","SF","2012-2013"
"3556","Chicago Bulls",15300000,"Carlos Boozer","PF","2012-2013"
"3557","Denver Nuggets",14968250,"Andre Iguodala","SG","2012-2013"
"3558","Dallas Mavericks",20907128,"Dirk Nowitzki","PF","2012-2013"
"3559","Oklahoma City Thunder",14693906,"Russell Westbrook","PG","2012-2013"
"3560","Washington Wizards",14487500,"Emeka Okafor","C","2012-2013"
"3561","Chicago Bulls",14275000,"Luol Deng","SF","2012-2013"
"3562","San Antonio Spurs",14107492,"Manu Ginobili","G","2012-2013"
"3563","Memphis Grizzlies",13891359,"Marc Gasol","C","2012-2013"
"3564","LA Clippers",13701250,"Blake Griffin","PF","2012-2013"
"3565","Brooklyn Nets",13668750,"Brook Lopez","C","2012-2013"
"3566","Minnesota Timberwolves",13668750,"Kevin Love","PF","2012-2013"
"3567","New York Knicks",13604188,"Tyson Chandler","C","2012-2013"
"3568","Portland Trail Blazers",13500000,"LaMarcus Aldridge","PF","2012-2013"
"3569","New York Knicks",19948799,"Amar'e Stoudemire","C","2012-2013"
"3570","Utah Jazz",13500000,"Al Jefferson","C","2012-2013"
"3571","Charlotte Bobcats",13200000,"Ben Gordon","SG","2012-2013"
